[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/todoDjango/todoDjango/urls.py first seen with mtime 1630113269.887412
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/_policybase.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_datetime.cpython-38-darwin.so first seen with mtime 1595261769.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/checks/security/sessions.py first seen with mtime 1630105312.4841
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/autoreload.py first seen with mtime 1630105312.609582
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/backends/base/__init__.py first seen with mtime 1630105312.512519
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/auth/checks.py first seen with mtime 1630105311.508118
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/unix_events.py first seen with mtime 1595261512.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/widgets.py first seen with mtime 1630105310.966936
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/constants.py first seen with mtime 1595261512.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/_markupbase.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/ipv6.py first seen with mtime 1630105312.616973
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/inspect.py first seen with mtime 1630105312.616686
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1630105311.654359
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/sqlparse/filters/tokens.py first seen with mtime 1630105309.286194
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1630105311.363643
